caseNumber,p_minus_r,p_interruptions,p_words,p_times,p_laughter,p_num_counsel,p_num_int_by,r_interruptions,r_words,r_times,r_laughter,r_num_counsel,r_num_int_by,j_interruptions,j_words,j_times,j_laughter,j_num_int_by,side,margin,j_num
08-192,-0.004027183488547697,0.004027183488547697,86.3695652173913,0.011578152529574628,0,1,5,0.008054366977095394,46.82608695652174,0.015857034986156558,0.0002516989680342311,1,6,0.0020135917442738486,98.58695652173913,0.02869368235590234,0.0005033979360684622,3,1,9,9
13-115,0.006313890559230307,0.009320505111244739,51.96875,0.019242333132892364,0,1,7,0.003006614552014432,35.640625,0.016235718580877932,0,1,4,0.004209260372820205,82.96875,0.04028863499699339,0.001503307276007216,6,1,9,9
07-214,0.0008690614136732337,0.00869061413673233,62.763636363636365,0.01593279258400927,0,1,6,0.007821552723059096,61.14545454545455,0.020278099652375436,0,2,7,0.002607184241019699,68.27272727272727,0.03650057937427578,0.0011587485515643105,3,1,9,9
07-773,-0.0012303906490310672,0.00584435558289757,58.05357142857143,0.017225469086434943,0,1,7,0.0070747462319286376,60.660714285714285,0.027683789603199015,0,1,8,0.004613964933866502,75.92857142857143,0.04675484466318056,0.0009227929867733005,3,1,1,9
13-1175,-0.0008547008547008551,0.008831908831908831,42.80487804878049,0.023361823361823363,0.0002849002849002849,2,5,0.009686609686609686,52.426829268292686,0.024216524216524215,0.0002849002849002849,1,7,0.007407407407407408,53.53658536585366,0.05042735042735043,0.0005698005698005698,9,0,1,9
08-1322,0.0028161081385525196,0.00844832441565756,65.75925925925925,0.01520698394818361,0,1,6,0.005632216277105041,57.351851851851855,0.021120811039143903,0,1,5,0.006195437904815545,56.55555555555556,0.03717262742889327,0.0008448324415657561,4,1,9,9
14-275,-0.00631578947368421,0.008421052631578947,39.583333333333336,0.02526315789473684,0.0007017543859649122,1,6,0.014736842105263158,49.02777777777778,0.031228070175438598,0,1,6,0.015087719298245613,69.36111111111111,0.06315789473684211,0.0017543859649122807,9,1,7,9
13-896,0.0035783099366914397,0.006330856041838701,75.6875,0.013212221304706853,0,2,5,0.0027525461051472614,74.52083333333333,0.009083402146985962,0,1,3,0.002477291494632535,57.625,0.02284613267272227,0,2,1,4,8
12-9012,-0.0012195121951219506,0.011382113821138212,37.27272727272727,0.026829268292682926,0,1,7,0.012601626016260163,56.27272727272727,0.03902439024390244,0,1,7,0.004471544715447155,84.18181818181819,0.06544715447154471,0.0008130081300813008,4,0,9,9
11-9335,-0.0003988831272437165,0.009174311926605505,53.340425531914896,0.01874750698045473,0,1,6,0.009573195053849222,51.638297872340424,0.01994415636218588,0,1,6,0.005983246908655764,102.95744680851064,0.04507379337854009,0.002792181890706023,7,1,1,9
12-10,0.0008823529411764713,0.007647058823529412,80.95238095238095,0.012352941176470587,0,1,7,0.006764705882352941,60.54761904761905,0.015294117647058824,0.0002941176470588235,1,6,0.003235294117647059,111.04761904761905,0.02823529411764706,0.0008823529411764706,2,0,4,8
13-6827,-0.002144607843137255,0.004595588235294118,65.28,0.015318627450980392,0,2,4,0.006740196078431373,67.72,0.01715686274509804,0,1,5,0.002144607843137255,69.8,0.03400735294117647,0.0006127450980392157,4,1,9,9
07-10441,0.0006613756613756613,0.00496031746031746,59.294117647058826,0.016865079365079364,0,1,5,0.004298941798941799,53.90196078431372,0.015873015873015872,0.00033068783068783067,1,6,0.0016534391534391533,66.31372549019608,0.03306878306878307,0,2,1,1,9
