"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"2004-033","2004-033-01","2004-033-01-01","2004-033-01-01-01",3/29/2005,1,"544 U.S. 167","125 S. Ct. 1497","161 L. Ed. 2d 361","2005 U.S. LEXIS 2928",2004,1607,"Rehnquist","02-1672","RODERICK JACKSON v. BIRMINGHAM BOARD OF EDUCATION",11/30/2004,,10,1,21,1,1,,,0,42,,31,,0,2,2,1,1,4,0,1,0,0,20130,2,2,0,4,,3,322,,104,103,1,5,4
"2004-034","2004-034-01","2004-034-01-01","2004-034-01-01-01",3/29/2005,1,"544 U.S. 197","125 S. Ct. 1478","161 L. Ed. 2d 386","2005 U.S. LEXIS 2927",2004,1607,"Rehnquist","03-855","CITY OF SHERRILL, NEW YORK v. ONEIDA INDIAN NATION OF NEW YORK, et al.",1/11/2005,,3,37,170,,1,67,,0,95,,22,,1,12,2,2,1,4,0,1,0,0,20160,2,1,0,7,,,,,109,102,1,8,1
"2004-035","2004-035-01","2004-035-01-01","2004-035-01-01-01",3/30/2005,1,"544 U.S. 228","125 S. Ct. 1536","161 L. Ed. 2d 410","2005 U.S. LEXIS 2931",2004,1607,"Rehnquist","03-1160","AZEL P. SMITH, et al. v. CITY OF JACKSON, MISSISSIPPI, et al.",11/3/2004,,8,29,3,29,1,,,0,85,,25,,1,12,2,2,1,2,0,0,0,0,20060,2,2,0,7,4,3,302,,103,103,1,5,3
"2004-036","2004-036-01","2004-036-01-01","2004-036-01-01-01",3/30/2005,1,"544 U.S. 269","125 S. Ct. 1528","161 L. Ed. 2d 440","2005 U.S. LEXIS 2930",2004,1607,"Rehnquist","03-9046","CHARLES RUSSELL RHINES v. DOUGLAS WEBER, WARDEN",1/12/2005,,126,,28,49,1,,,0,115,,28,,0,2,5,1,1,5,0,1,0,0,10020,1,2,0,4,,3,341,,104,102,1,9,0
"2004-037","2004-037-01","2004-037-01-01","2004-037-01-01-01",3/30/2005,1,"544 U.S. 280","125 S. Ct. 1517","161 L. Ed. 2d 454","2005 U.S. LEXIS 2929",2004,1607,"Rehnquist","03-1696","EXXON MOBIL CORPORATION, EXXON CHEMICAL ARABIA, INC., AND MOBIL YANBU PETROCHEMICAL COMPANY, INC. v. SAUDI BASIC INDUSTRIES CORPORATION",2/23/2005,,198,,159,,1,,,0,92,,23,,0,2,9,1,1,4,0,1,0,0,90320,9,2,0,7,,,,,109,102,1,9,0
"2004-038","2004-038-01","2004-038-01-01","2004-038-01-01-01",4/4/2005,1,"544 U.S. 295","125 S. Ct. 1571","161 L. Ed. 2d 542","2005 U.S. LEXIS 2934",2004,1607,"Rehnquist","03-9685","ROBERT JOHNSON, JR. v. UNITED STATES",1/18/2005,,126,,27,,1,,,0,59,,31,,1,2,2,1,1,2,0,0,0,0,90480,9,1,0,4,,3,341,,107,102,1,5,4
"2004-039","2004-039-01","2004-039-01-01","2004-039-01-01-01",4/4/2005,1,"544 U.S. 320","125 S. Ct. 1561","161 L. Ed. 2d 563","2005 U.S. LEXIS 2933",2004,1607,"Rehnquist","03-1407","RICHARD GERALD ROUSEY, ET UX. v. JILL R. JACOWAY",12/1/2004,,114,,135,,1,,,0,47,,28,,0,2,2,1,1,4,0,1,0,0,80030,8,2,0,4,,3,307,,108,102,1,9,0
"2004-040","2004-040-01","2004-040-01-01","2004-040-01-01-01",4/19/2005,1,"544 U.S. 336","125 S. Ct. 1627","161 L. Ed. 2d 577","2005 U.S. LEXIS 3478",2004,1607,"Rehnquist","03-932","DURA PHARMACEUTICALS, INC., et al. v. MICHAEL BROUDO et al.",1/12/2005,,122,,173,,1,,,0,51,,29,,0,2,4,2,1,4,0,1,0,0,80120,8,1,0,4,5,3,365,,110,102,1,9,0
"2004-041","2004-041-01","2004-041-01-01","2004-041-01-01-01",4/26/2005,1,"544 U.S. 349","125 S. Ct. 1766","161 L. Ed. 2d 619","2005 U.S. LEXIS 3701",2004,1607,"Rehnquist","03-725","DAVID B. PASQUANTINO, CARL J. PASQUANTINO, AND ARTHUR HILTS v. UNITED STATES",11/9/2004,,126,,27,,1,,,0,79,,24,,1,2,2,1,1,2,0,0,0,0,10450,1,1,0,4,,6,600,"18 U.S.C. § 1343",108,102,1,5,4
"2004-042","2004-042-01","2004-042-01-01","2004-042-01-01-01",4/26/2005,1,"544 U.S. 385","125 S. Ct. 1752","161 L. Ed. 2d 651","2005 U.S. LEXIS 3700",2004,1607,"Rehnquist","03-750","GARY SHERWOOD SMALL v. UNITED STATES",11/3/2004,,100,,27,,1,,,0,111,,23,,0,2,2,1,1,4,0,1,0,0,10440,1,2,0,4,,6,600,"18 U.S.C. § 922",110,103,1,5,3
